repetentia,memorialis,memoria
uerbereus,uirgulatus
explicabilis,explicatus
introeo,ingredior
sufflatio,sufflo,inflo
imbellia,bellum
loquentia,sermo
haemachates,iaspachates,leucachates
curriculum,stadiatus
consano,sanatio
suffugio,fugio,fugito
comacum,cinnamominus
lapis,tecolithos,petrinus
sector,consector
percutio,ferio
impudens,impudentia,subimpudens
sarisophoros,lanciarius,sarisa
tegimen,tegumentum
cohibilis,correpte
pardalios,pantherinus
succandidus,exalbidus,candico
caluities,calueo,praecaluus
praescitum,praesagium,praesago
isatis,opopanax
statiuus,stationalis
praeterfero,praeterago,praetercurro
semino,genero,procreo
sal,hospitus
resanesco,reduresco,repubesco
biformatus,biformis
uaricula,uarix
cacozelia,cacozelus
tricesimus,sexagesimus
initio,teleta
strictim,summatim
psychomantium,bustuarius
sceptrifer,sceptriger,sceptuchus
porto,portito,gestatus
exorabula,illecebro
sufflamen,sufflamino
licitatio,licitor
tutulatus,sagulatus
palmaris,palmeus,palmifer
mellifer,mellifico,mellitus
recisamentum,ramenta
exsultim,exsultatio
proloquor,profor
aether,aethra
pacta,miseriter,prone
mitigo,lenio
amoenus,peramoenus
sophia,sapientipotens
intinctus,intingo,tinctus
dentifricium,dentatus
annoto,praenoto
spiraculum,spiramen
uerecundia,rubor
delitesco,oblitesco,latesco
circumuecto,circumuehor
horrisonus,persono
circumerro,uagabundus
miseriter,prone,interfusus
inhortor,impulsor,irritator
horricomis,uillus
deturbo,cernulo
relator,lator
olorinus,olorifer,cycneus
tremebundus,tremulus
mulseus,mellitus,mel
lucrio,lucrifuga
circumpadanus,attilus
congeminatio,comprehenso,geminatio
uenosus,ramulosus
dedico,fano,dedicatio
eluctor,renitor
gladium,lagoena,lamna
uenatus,uenatura,uenaticius
riuulus,amniculus
praecursio,baptista
subsidentia,sedimentum,resido
circummetior,admetior
signatorius,obsigno,sigillaricius
obirascor,subirascor,periratus
torquatus,boiae,torquis
palaris,palatio
squameus,squamifer,squamosus
languidus,langueo
quouis,quoquo
epistates,episcopus,uilicus
humus,solum
prunum,prunus,nuciprunum
celatim,clanculo,arcanus
praecipio,praeceptio
fumosus,fumidus,fumeus
apertura,foramen,hiantia
manipularius,manipularis
carcinodes,carcinoma,phagedaenicus
croco,croceus,crocinus
promulsus,leuor
uesanio,desaeuio
hamulus,harpaga,hamatus
praetentatus,attrecto
peucedanum,faeniculum
decertatio,decretorius
macer,macritudo,macilentus
plasticus,plastes
hyperbole,superiectio,superlatio
tetanicus,tetanus
fortassean,forsit,forsan
torno,detorno
eructo,prouomo
semiuocalis,semi
culix,euplia,ephemeron
coacto,cogo
adaxint,lagoena,lamna
contractio,compendio
corticosus,latratus,illatro
accusatorius,insimulator,obiector
comminiscor,commentior
laetabilis,gaudialis
harundinaceus,harundineus,zeugites
aratro,arater,obaro
extraordinarius,crebritas
centesimus,trecentesimus,quadringentesimus
progredior,procedo
occasus,obitus
circaea,medicatus
perducto,perductio,ductus
delabor,sublabor,descendo
iugo,conclusura
ligula,lingua
altipotens,multipotens,uiripotens
circumpono,circumpositio
ophthalmia,lippitudo
dispungo,dispunctio
circumspectatrix,speculatrix
imperatorius,generalitas
scymnus,catulus
uermis,lumbricus,tinea
lucrum,quaestuosus,lucrificabilis
ganeo,degulator
infortunitas,infortunium,commisero
satureia,thymbra
lymphatus,mania,furiosus
mensa,mensatim,discubitus
plagusia,smyrus,corroco
persecutrix,insecto
stibium,larbason,platyophthalmus
inorno,infulatus,ornatio
stri,istri
ducenti,centum,duceni
transforo,traiecto,traiector
supputatio,supputarius,ratiocinator
uenucula,sticula,dactylis
arcus,suspensura
auxiliator,adiutrix,administra
mucesco,mucor,mucidus
biblus,papyrus,papyrius
commeo,concurso
mesoleucos,mesomelas,polyzonos
excogito,adinuenio
dubius,dubitanter,dubie
uectura,subuectio
linealis,linearis,uersiculus
despecto,despicio
bombus,bombio
interfusus,prone,genitaliter
blandidicus,commulceo
creteus,cretosus,cretaceus
recreatio,reconciliator,repostor
internascor,interuolo,intererro
